Name,Pitch_R1_Deg,Roll_R2_Deg,Yaw_R3_Deg,Horz_Off_Meters,Vert_Off_Meters
LS1_CB07:CAV2_D1623,0.014,-0.0543,-0.0159,-0.000707,-0.0002
LS1_CB07:CAV3_D1627,0.0694,-0.0415,0.0268,-0.000696,-0.000451
LS1_CB07:CAV4_D1631,-0.0122,-0.331,-0.0698,-0.000338,-0.000232
LS1_CB07:SOL2_D1637,0.001,-0.0049,0.0055,-0.000625,-0.000245
LS1_CB07:CAV5_D1643,0.0199,0.0184,-0.05,-0.000228,-0.000762
LS1_CB07:CAV6_D1647,0.0792,0.0011,0.0148,-0.000389,-0.000731
LS1_CB07:CAV7_D1651,-0.0086,-0.1017,-0.04,-0.000376,-0.000212
LS1_CB07:SOL3_D1657,0.0198,-0.0088,-0.0173,-0.000087,-0.000209
LS1_CB07:CAV8_D1663,0.0325,-0.0554,0.0047,-0.000232,-0.000261
LS1_CB08:CAV1_D1675,-0.0068,-0.0124,0.018,0,0.000175
LS1_CB08:SOL1_D1681,0.0215,-0.041,0.006,-0.000129,-0.00011
LS1_CB08:CAV2_D1687,0.0231,-0.0878,-0.0629,0.000148,-0.000063
LS1_CB08:CAV3_D1691,0.0481,-0.0741,-0.0036,-0.000031,-0.00025
LS1_CB08:CAV4_D1695,0.0052,-0.034,0.0089,-0.000142,-0.000275
LS1_CB08:SOL2_D1701,0.0043,-0.0117,0.0088,-0.000298,-0.000397
LS1_CB08:CAV5_D1707,-0.0211,-0.0188,-0.0127,-0.00032,-0.000299
LS1_CB08:CAV6_D1711,0.0375,0.0065,0.0031,-0.000262,-0.000309
LS1_CB08:CAV7_D1715,-0.015,-0.0285,0.0467,-0.00032,-0.000167
LS1_CB08:SOL3_D1721,-0.0088,0.0145,-0.0057,-0.00037,-0.000081
LS1_CB08:CAV8_D1727,-0.0208,0.0093,0.0043,-0.000044,0.000075
LS1_CB09:CAV1_D1739,-0.002,-0.1016,-0.0108,0.000311,0.000226
LS1_CB09:SOL1_D1745,0.063,-0.0408,-0.0077,-0.000312,-0.000164
LS1_CB09:CAV2_D1751,-0.0034,-0.0514,0.0218,-0.0002,-0.000226
LS1_CB09:CAV3_D1755,0.0049,-0.0889,0.0026,0.000284,-0.00055
LS1_CB09:CAV4_D1759,-0.0048,-0.0891,-0.0134,0.000267,0.000087
LS1_CB09:SOL2_D1765,0.0505,-0.0383,0.0013,0.000093,-0.000359
LS1_CB09:CAV5_D1771,0.0703,-0.0556,-0.01,-0.000223,0.000148
LS1_CB09:CAV6_D1775,0.0724,-0.2154,0.0088,-0.000651,-0.000303
LS1_CB09:CAV7_D1779,-0.0103,-0.052,0.027,-0.000005,-0.00042
LS1_CB09:SOL3_D1785,0.0242,0.1492,0.0425,-0.000424,0.000012
LS1_CB09:CAV8_D1791,0.0168,-0.0708,0.0451,-0.000076,-0.000065
LS1_CB10:CAV1_D1802,0.0197,-0.055,0.0074,-0.000047,-0.000425
